combo,n_factors,hold,tickers,trades,win_rate,avg_return,median_return,avg_excess,total_return,max_drawdown,sharpe,sortino,avg_hold,t_stat,low_n
A2+B2+C1+V1,4,20,444,41,65.85365853658537,4.5628487741298445,7.973176213233392,3.701160848440342,187.07679973932363,-45.64012744743529,1.2345189257754303,2.397076330098133,20.0,1.9348580544408327,False
A2+C3,2,20,444,54,59.25925925925925,5.652347960146619,3.8867298362987106,3.3896392383938325,305.2267898479174,-77.42611035149581,1.3141920392077011,2.642836983869896,20.0,1.7342347300888339,False
A1+B3+C1+D1,4,20,444,74,67.56756756756756,3.861187913385526,5.605333342782646,3.1282715916391735,285.72790559052896,-97.82762494223249,1.3861829734005637,2.0754981934601346,20.0,2.8687300888724625,False
B2+C1+D1+V1,4,20,444,69,69.56521739130434,4.371896868978382,4.699361544518432,3.0914534834790937,301.66088395950834,-43.16883074715393,1.2427094526860127,1.638956423539846,20.0,2.054861409195109,False
A2+C1+D1+V1,4,20,444,42,66.66666666666666,4.233521861419369,2.539609423651297,2.599211585664922,177.80791817961352,-28.844358245745696,1.3889630631179355,2.853929969094404,20.0,1.726163957771036,False
A2+C1+V1,3,20,444,126,61.904761904761905,3.1995956525980613,2.8849610435330937,2.3000103490231636,403.14905222735575,-92.96910176357606,0.9397084780130811,1.915932564354904,20.0,2.2537866251809704,False
B2+C1+V1,3,20,444,262,62.97709923664122,3.367304407680411,3.5030816742663817,2.245667456399766,882.2337548122678,-83.57659332373343,1.0207057594973232,1.6229580923953866,20.0,3.1311949735368905,False
A1+C1+D1,3,20,444,93,62.365591397849464,2.843748688441632,4.387474849231377,2.0969447780959602,264.4686280250718,-127.16913768703097,0.9938801384903871,1.5137351439637166,20.0,2.0546261324815798,False
A2+B2+C1,3,20,444,281,60.4982206405694,3.3113240962661856,3.8483191764781357,1.913118445931718,930.482071050798,-307.91337626857546,0.8655818294131498,1.6834801846323488,20.0,2.4219645780709183,False
A2+B2+C3,3,20,444,36,52.77777777777778,3.7444776805310727,1.3394953667574276,1.8631500279970978,134.80119649911862,-55.15219926662168,1.0028402260920561,1.870951541677438,20.0,0.8307859230796352,False
A2+B3+C1+V1,4,20,444,85,60.0,2.5420264998592006,2.072233225134821,1.6241612845984073,216.07225248803203,-62.73734395866568,0.779310425924799,1.671087280013758,20.0,1.3534163451880237,False
A2+B3+C1+D1+V1,5,20,444,35,65.71428571428571,2.952009896313183,2.10493203272225,1.5218308856458007,103.32034637096142,-23.628701079171666,1.1828974539582464,1.8408437311844756,20.0,1.0605250057700486,False
C1+V1,2,20,444,960,58.854166666666664,2.342013560601691,1.980123070996824,1.1978369825131336,2248.333018177623,-215.5999090741055,0.7082012927886329,1.215280119273379,20.0,3.210615063507652,False
C1+D1+V1,3,20,444,477,58.909853249475894,2.2745061936681097,1.7215146204931495,1.108667463131179,1084.9394543796884,-216.70295267440275,0.7170916362777033,1.210070464067963,20.0,2.1976750088613786,False
A2+C1,2,20,444,536,58.02238805970149,2.4625911586687734,2.2811711974971813,1.0768169467172557,1319.9488610464625,-423.695761736024,0.7180692991354992,1.424098179521912,20.0,2.0942923571502163,False
C2,1,20,444,62,62.903225806451616,1.9311140611415085,2.721690614133334,1.0516420783033045,119.72907179077355,-58.12848003991018,0.6704617787571138,1.0404192838523587,20.0,0.8326583967935255,False
B2+C2,2,20,444,62,62.903225806451616,1.9311140611415085,2.721690614133334,1.0516420783033045,119.72907179077355,-58.12848003991018,0.6704617787571138,1.0404192838523587,20.0,0.8326583967935255,False
B2+C1,2,20,444,1632,57.291666666666664,2.2203289752127833,1.794131401261481,0.9030036243602362,3623.5768875472622,-718.9191747727192,0.6464322886681128,1.197133560030605,20.0,3.044682494115982,False
A2+B1+D1+V1,4,20,444,423,57.446808510638306,2.296084923294047,1.628142345087966,0.8802663944375665,971.2439225533819,-328.84608154019725,0.6947348610968781,1.332523660485344,20.0,1.6188672512477817,False
B3+C1+V1,3,20,444,698,57.306590257879655,1.9571622684317411,1.6064798593144618,0.8045252573579792,1366.0992633653555,-246.60242847233144,0.5920338375668737,1.0411956301973402,20.0,1.8442906945252004,False
B3+C1+D1+V1,4,20,444,408,57.107843137254896,1.9198004176965198,1.506779554789281,0.773343356748811,783.27857042018,-232.08993237527613,0.6186726297562235,1.086421345180644,20.0,1.4560047941340133,False
C1,1,20,444,4237,58.15435449610573,2.1967914419389563,1.7407754160072695,0.7683170762418436,9307.805339495357,-1335.4459549368385,0.6502215385375052,1.1684491792381988,20.0,4.255428305448813,False
A2+B3+C1+D1,4,20,444,96,59.375,2.4182387569928037,1.9828088789840528,0.7499100487719647,232.15092067130917,-75.13117686462803,0.8334793193199742,1.6389235916421179,20.0,0.7408837976832335,False
A2+B1+V1,3,20,444,651,57.14285714285714,1.858789617262184,1.360884816988479,0.7225943284150206,1210.0720408376817,-544.6845446853858,0.5660714317101766,0.9655912547238643,20.0,1.6540284453386112,False
B3+C1,2,20,444,2605,58.69481765834933,2.182045470997349,1.7215146204931495,0.683937634196079,5684.2284519480945,-681.5612526840671,0.6526261251937094,1.150212223208332,20.0,3.007165921724148,False
B3+V1,2,20,444,6021,54.55904334828101,1.5108904710831534,0.9189792809592152,0.6469827798278689,9097.071526391666,-2034.3018002030676,0.45886135874852296,0.7911825821271596,20.0,4.33035727145071,False
A2+B3+D1+V1,4,20,444,142,60.56338028169014,1.390459543394336,1.4714798097237474,0.5970469037140529,197.44525516199573,-110.27888067644196,0.5367327842570035,0.8030564689384023,20.0,0.8195624907476761,False
B3+D1+V1,3,20,444,4228,54.39924314096499,1.328441430614604,0.8583476776145543,0.575527147308883,5616.650368638546,-1578.665034931955,0.4181032637184733,0.6942932124813544,20.0,3.3401427857542743,False
A2+B3+V1,3,20,444,318,59.74842767295597,1.5488149292197286,1.4195559447391881,0.500372311584214,492.5231474918737,-151.5758145589792,0.5484171719906277,0.9339607326381616,20.0,0.9117217989676095,False
B3+C1+D1,3,20,444,1623,57.91743684534813,1.8692499581187523,1.6471905387487866,0.4240332279029381,3033.7926820267353,-506.5850540043689,0.6043016935039174,1.0182589325937272,20.0,1.5895436706963624,False
A2+B3,2,20,444,862,57.772621809744784,1.9434190318507232,1.2963316641215998,0.40994589761749267,1675.2272054553234,-310.3144074457111,0.6571157124247146,1.220658630243844,20.0,1.1631421658540426,False
A2+B3+D1,3,20,444,363,57.30027548209367,2.0420751095850673,1.31975674300147,0.3963066386567295,741.2732647793794,-190.36990685902842,0.7900227811656706,1.448173896505328,20.0,0.8704065336336219,False
A2+V1,2,20,444,2178,55.60146923783288,1.5793500922945336,1.17358698101569,0.3867655036165069,3439.8245010174946,-1123.0781344271168,0.5012560469847149,0.8379301981610501,20.0,1.6462671561299027,False
B3,1,20,444,25003,53.90953085629725,1.3480669180386633,0.7259564584811595,0.3426760529035053,33705.7171517207,-12309.131554257674,0.4254425545080156,0.7491503463985718,20.0,4.865969522450767,False
B1+C3,2,20,444,115,50.43478260869565,2.1060332312042274,0.11627063679049128,0.3039699072845577,242.19382158848614,-106.82042949493076,0.5854472077717898,0.9868212301476957,20.0,0.2655321195792417,False
C1+D1,2,20,444,2147,57.009781089892876,1.6753599284500245,1.5212395206291012,0.2578380424026594,3596.997766382202,-751.505349355294,0.5454505794830727,0.8999276464143116,20.0,1.1165481760170728,False
A2+C1+D1,3,20,444,171,57.89473684210527,1.9914635145372634,1.893384532833284,0.25316418994474765,340.54026098587207,-237.22147732120558,0.5999797241460797,1.1025647894281123,20.0,0.29920225059879013,False
B3+D1,2,20,444,18617,53.46726110544127,1.1402314756604985,0.6376861773516125,0.24896731929327917,21227.689382371504,-10535.026234218625,0.36941726512127093,0.6287938072829996,20.0,3.1382137252480327,False
A2+D1+V1,3,20,444,1096,55.65693430656934,1.5156360390265422,1.1663986278351677,0.2198336948285996,1661.1370987730904,-781.059515560916,0.47959281042523,0.8061427367963127,20.0,0.673185488409457,False
B1+C3+V1,3,20,444,47,46.808510638297875,1.255013981901077,-1.0430657155214376,0.2131789178893661,58.98565714935062,-53.73396458660328,0.3948128006257648,0.8649148850412837,20.0,0.13091674055020702,False
A2+B2+V1,3,20,444,1131,54.19982316534041,1.483560760666723,1.0988994146055626,0.20532268360375322,1677.9072203140636,-559.7882164196841,0.4695530295687423,0.7657034198032455,20.0,0.6215044762587645,False
V1,1,20,444,22075,54.98527746319366,1.4217550700620325,1.0669711917641798,0.20096314982080243,31385.243171619368,-6851.65709613307,0.4533900236466348,0.7334633622619445,20.0,2.715880038930746,False
A2+B3+C1,3,20,444,255,55.294117647058826,1.5273207450810369,1.4243371337177135,0.15524549072014274,389.4667899956644,-124.77672191352657,0.5236567892288632,1.0955064575961726,20.0,0.24360573936109234,False
D1+V1,2,20,444,13013,54.960424191193425,1.309284488007385,1.055668874990869,0.15511057613231763,17037.7190424401,-4415.534218870766,0.4215853999362166,0.6689598156091148,20.0,1.6306304804532437,False
C3,1,20,444,395,52.65822784810127,1.7057877730878346,1.0674781919084038,0.12812070499696598,673.7861703696947,-341.22002251371356,0.5105454769484981,0.8110792845298439,20.0,0.21459797961273439,False
A1+B3+C1,3,20,444,215,58.139534883720934,0.8485598876829555,1.7407754160072695,0.08021002161550721,182.44037585183546,-270.3377926492699,0.2797169181408195,0.37296778162654215,20.0,0.11136329548050337,False
B2+C3,2,20,444,277,53.42960288808665,1.592980618349623,1.4645523022858162,0.07470419763635999,441.25563128284557,-275.69054969270036,0.4917332236745558,0.7606214234701494,20.0,0.10582728154750906,False
B1+V1,2,20,444,6696,55.7347670250896,1.5608521903699055,1.2409862025156573,0.061632313678640804,10451.466266716889,-4628.636284030219,0.5008918539935823,0.7933928386828282,20.0,0.46825468463040804,False
A2+B2,2,20,444,6650,55.037593984962406,1.7400702495574583,1.1040971455252786,0.04356607947762927,11571.467159557098,-3126.042388080817,0.5394721580378038,0.9604335488161505,20.0,0.3158684824013568,False
