combo,n_factors,hold,tickers,trades,win_rate,avg_return,median_return,avg_excess,total_return,max_drawdown,sharpe,sortino,avg_hold,t_stat,low_n
A1+B3+D1+V1,4,4,40,30,60.0,4.73119981044085,2.438208102252663,2.685202543144473,141.9359943132255,-22.649441929561952,3.0131176599093603,8.015202559446877,4.0,1.2380796389494106,False
B1+D1,2,4,40,334,67.06586826347305,5.10853703792244,5.52205372681742,2.454181869258683,1706.2513706660952,-567.6062373000478,3.1307016179930214,5.013077676165268,4.0,4.69446486017276,False
A1+B3+V1,3,4,40,49,57.14285714285714,3.261907003103394,1.0034586038742228,2.152021506744104,159.83344315206628,-44.88852943110979,2.3903758536441218,6.016922221244289,4.0,1.4955461087357662,False
A1+V1,2,4,40,70,54.285714285714285,2.6332577438840463,0.8355541313094499,2.0272432133847067,184.32804207188326,-106.84437782230314,1.8509559519515604,3.615934613234933,4.0,1.7160349961144896,False
A1+D1+V1,3,4,40,36,58.333333333333336,4.154535130817058,2.438208102252663,1.9268326411576775,149.56326470941406,-23.31854178232986,2.7861917169120085,7.861880098901409,4.0,1.0228044901783007,False
A2+D1,2,4,40,73,68.4931506849315,2.7501791141804532,3.049556696525407,1.209553223898822,200.7630753351731,-117.90515906534283,2.185358731373977,2.431036390097543,4.0,1.2660234000806225,False
B1+D1+V1,3,4,40,135,60.74074074074074,3.349608927289212,4.807167214334717,1.1736262106966477,452.1972051840436,-393.1726161847153,1.8935330177022531,3.0082940886971103,4.0,1.3815373823132364,False
B1,1,4,40,699,60.37195994277539,3.245631541409345,2.6266927978580656,1.1209770670962496,2268.696447445132,-1093.4210059640438,2.041933516514392,3.3949168234517413,4.0,3.07524228687375,False
A1+B2+D1,3,4,40,35,42.857142857142854,2.6184094729724294,-1.3322156319866063,1.0384392894391934,91.64433155403503,-43.9957223695256,1.886100859506439,5.567947216724446,4.0,0.6303030756896363,False
A2+B2+D1,3,4,40,52,69.23076923076923,2.852829439401013,3.022358757128066,0.8920740072665818,148.3471308488527,-43.20772218069339,3.0323815450784424,4.491713118049135,4.0,0.9654937643896674,False
B1+V1,2,4,40,250,60.4,2.874235344232536,3.7685018349669948,0.7275757308833478,718.558836058134,-605.3005424262285,1.6355754801779951,2.466563028689645,4.0,1.0879154409089635,False
D1+V1,2,4,40,538,60.223048327137555,2.910415465598985,2.8702411498856777,0.7086362850309902,1565.803520492254,-698.796481225113,2.0541317053902977,3.3000738157853946,4.0,1.9071542424106367,False
A1+B2,2,4,40,111,45.04504504504504,1.1271012610798266,-0.7422599355012901,0.6978882659022939,125.10823997986074,-204.7056801666868,0.7913710018150408,1.457926273764089,4.0,0.7325651511393555,False
D1,1,4,40,2430,60.08230452674898,2.5816300035805835,1.99190271812162,0.6499623116942994,6273.360908700817,-1640.1466113515828,1.9630551382892063,3.130235700047239,4.0,3.733091735015337,False
B2+D1,2,4,40,937,61.5795090715048,2.6677706226261604,2.600507066978003,0.542535709832727,2499.701073400712,-601.4782988305351,2.1889495273909043,3.2726741127894807,4.0,2.0371326674647863,False
V1,1,4,40,889,59.392575928008995,2.3420172025866095,2.1723129424767866,0.5008409947131408,2082.053293099496,-1252.7080197241003,1.6554409709294584,2.516977582035805,4.0,1.6897287546474342,False
A1,1,4,40,350,52.28571428571429,1.6589095206041522,0.2735341966119057,0.26319314174493247,580.6183322114533,-342.3242689141299,1.34161570463267,2.447816738517896,4.0,0.5699982439149506,False
B2+D1+V1,3,4,40,195,61.53846153846154,2.570566084108123,3.147281213905557,0.2447634117489678,501.260386401084,-245.27608886498834,2.214187012866718,3.270574711055382,4.0,0.5051473714882536,False
B2,1,4,40,1920,58.4375,1.809541779300404,1.7542200466004827,0.1819107771038824,3474.3202162567754,-1587.87149384895,1.4870514289535843,2.265839696655597,4.0,0.9459160459818129,False
B3,1,4,40,1496,57.55347593582888,1.6139265575424662,1.2124180539654508,0.17198632992972734,2414.4341300835295,-1300.9179341949728,1.384606354193868,2.1733892591410044,4.0,0.8187471174431906,False
B2+V1,2,4,40,348,58.90804597701149,1.6625036891641385,2.348142958421136,0.06356400151013121,578.5512838291203,-524.1416660601417,1.4586516297449101,2.044340078136111,4.0,0.1736189125408397,False
A1+B3,2,4,40,236,55.50847457627118,1.931203578981117,0.7913531799253437,0.051255569737316486,455.7640446395436,-308.40700492864516,1.6854656711096718,3.1353727795707935,4.0,0.09881827216599301,False
B3+D1+V1,3,4,40,189,56.08465608465608,1.7117419378226355,1.050159264905117,0.04339328580375822,323.5192262484781,-123.76858506242559,1.456453153632554,2.5198506115648325,4.0,0.07073530819216094,False
B3+V1,2,4,40,261,56.32183908045977,1.4487340877364772,1.0655642866103674,0.030071938160470397,378.11959689922054,-138.05424961291487,1.2471264413305485,1.9994318467316055,4.0,0.05698686333419547,False
B3+D1,2,4,40,1125,56.177777777777784,1.4249710741877273,0.9849565978634487,-0.016334107075654268,1603.092458461193,-1231.222319693043,1.18859641119858,1.8677251548693905,4.0,-0.0664765537106808,False
A1+D1,2,4,40,198,51.515151515151516,1.9297754558783002,0.2100867667286568,-0.04986914600481427,382.09554026390344,-192.12178948300806,1.4911660256075878,3.0223103369674376,4.0,-0.07856731381966243,False
A1+B3+D1,3,4,40,163,53.37423312883436,1.7819092558887628,0.27372504428551814,-0.28355500637622705,290.45120870986835,-232.14049072502482,1.3956279008422763,2.644030590239066,4.0,-0.41321378856209345,False
B2+C1,2,4,40,49,57.14285714285714,1.4988158323444534,1.5665924901463575,-0.3802653585220606,73.44197578487822,-38.255466938521444,1.651655441785269,3.209107791860448,4.0,-0.38684546747653087,False
A2,1,4,40,212,60.37735849056604,1.0959999917439294,2.432539392520377,-0.6448488422806145,232.351998249713,-582.4270539974802,0.7570761198230627,0.9738176166522136,4.0,-0.8725392550915861,False
A2+B2,2,4,40,177,58.19209039548022,0.9716706947204563,2.1723129424767866,-0.7601097240971261,171.98571296552078,-439.19576499971697,0.7227244428578585,1.021154763922838,4.0,-1.0238367170864144,False
C1,1,4,40,97,53.608247422680414,0.778184547489164,1.4659186167181335,-1.0650581983223602,75.4839011064489,-71.76130306861855,0.761107713523367,1.5482117021656343,4.0,-1.3842475200447097,False
B3+C1,2,4,40,48,50.0,0.04254011086605562,0.27124951493940663,-1.7641175556184991,2.04192532157067,-76.21862495918876,0.03764667736668053,0.08175023657568903,4.0,-1.4827190371958725,False
A2+B2+V1,3,4,40,31,41.935483870967744,-2.9366757092100073,-1.4309663719460168,-2.7172183617580044,-91.03694698551023,-143.19800197131195,-2.4207668932303914,-2.8555585574417446,4.0,-2.346691766920433,False
A2+V1,2,4,40,48,47.91666666666667,-2.965387068794535,-0.45824704815281886,-3.050225305522919,-142.3385793021377,-287.0898686888403,-1.7357287699969859,-2.016817865214424,4.0,-1.7345282253057597,False
A2+C1+V1,3,4,40,3,66.66666666666666,5.6945408212892845,1.2298315171088103,7.280416927001777,17.083622463867854,-0.35768033153604545,4.943861816359443,,4.0,1.7935154445494337,True
A2+B3+C1+V1,4,4,40,3,66.66666666666666,5.6945408212892845,1.2298315171088103,7.280416927001777,17.083622463867854,-0.35768033153604545,4.943861816359443,,4.0,1.7935154445494337,True
C3+V1,2,4,40,1,100.0,10.856762281525208,10.856762281525208,7.143969601060266,10.856762281525208,0.0,,,4.0,,True
B2+C3+V1,3,4,40,1,100.0,10.856762281525208,10.856762281525208,7.143969601060266,10.856762281525208,0.0,,,4.0,,True
A2+B3+C1,3,4,40,6,83.33333333333334,4.827903969495651,3.2438467702208187,4.537945476531269,28.967423816973902,-0.3576803315360456,6.452790787531699,,4.0,2.0389007405126875,True
A2+C1+D1,3,4,40,2,50.0,0.43607559278638247,0.43607559278638247,3.7302329005456527,0.8721511855727649,-0.35768033153604545,3.0834014832717207,,4.0,1.0941816693216835,True
A2+C1+D1+V1,4,4,40,2,50.0,0.43607559278638247,0.43607559278638247,3.7302329005456527,0.8721511855727649,-0.35768033153604545,3.0834014832717207,,4.0,1.0941816693216835,True
A2+B3+C1+D1,4,4,40,2,50.0,0.43607559278638247,0.43607559278638247,3.7302329005456527,0.8721511855727649,-0.35768033153604545,3.0834014832717207,,4.0,1.0941816693216835,True
A2+B3+C1+D1+V1,5,4,40,2,50.0,0.43607559278638247,0.43607559278638247,3.7302329005456527,0.8721511855727649,-0.35768033153604545,3.0834014832717207,,4.0,1.0941816693216835,True
A2+B1+D1,3,4,40,15,80.0,4.569394545880701,9.102422622990844,3.523244130217319,68.54091818821051,-74.43809674619634,2.135991122707325,2.8012579090829677,4.0,1.102066852616779,True
A2+C1,2,4,40,17,88.23529411764706,5.145494682510954,4.666240429426744,2.7023139814044153,87.47340960268622,-0.3576803315360477,9.358246979557014,1960.290403149594,4.0,2.5221307551962977,True
A1+B2+V1,3,4,40,19,42.10526315789473,0.9578397105466083,-1.4974452991320915,1.757131722426679,18.198954500385558,-71.8764047324702,0.5800984082268527,0.9834439775714867,4.0,0.7530016061108862,True
A2+B2+C1,3,4,40,11,90.9090909090909,5.318725980519301,6.433847985582029,1.701060438607949,58.50598578571231,-0.32821631208797275,11.82427961395841,,4.0,1.5505166589004182,True
A1+B1+V1,3,4,40,2,100.0,3.147822209715702,3.147822209715702,1.5362341901807524,6.295644419431404,0.0,17.666061476735415,,4.0,0.9021306317747564,True
B2+C1+D1,3,4,40,4,50.0,1.827399998912742,1.6566276105693372,1.15352333064292,7.309599995650968,-5.2243858440217545,2.1726962400802456,6.710929323751538,4.0,0.4166711958896531,True
A1+B1,2,4,40,3,66.66666666666666,-0.08465080265036654,2.1477629515660173,0.8518958791883432,-0.25395240795109963,-6.549596827382503,-0.11813699948194797,,4.0,0.7111646464185332,True
